Box,Section,x,y,type, poly,edge(EDI),altitude(m),aspect,northness,habitat type,soil type
O95,O,445955.33,207585.71,G,2694.65,402.229,101.824,210.242,-0.863905837,2,3
W11,W,446051.33,209146.71,G,2695.94,314.477,91.2476,87.9733,0.035365212,5,3
W7,W,446155.33,209193.71,G,2703.31,207.939,81.7544,344.279,0.962592502,5,3
CP36,CP,446664.33,208766.71,G,2706.41,46.2092,109.949,14.5055,0.968123601,4,2
MP70,MP,448559.72,206926.76,G,2718.35,42.5346,66.4167,84.3426,0.098579888,3,3
B201,B,447485.72,207826.76,G,2719.9,31.6845,108.324,350.253,0.985564925,5,2
SW12,SW,446325.33,207597.76,G,2743.33,101.176,132.826,279.018,0.156744749,3,2
B185,B,447636.72,207915.76,G,2744.02,15.3654,94.214,32.0349,0.847725154,5,3
SW45,SW,446699.33,207483.71,G,2753.78,74.7313,140.652,13.0179,0.974299739,3,1
CP28,CP,446614.33,209067.71,G,2770.65,143.747,90.9464,36.5943,0.802876786,4,3
W64A,W,445637.33,209270.71,G,2771.31,79.2969,70.1686,333.549,0.895315628,5,3
B194,B,447875.72,207960.76,G,2776.33,22.7502,75.0259,38.3659,0.784062999,5,3
C105,C,446268.72,206788.76,G,2778.56,89.0376,101.436,148.301,-0.850820281,5,3
W103,W,445304.33,209032.71,G,2785.09,56.3627,65.9215,274.717,0.082234213,5,3
MP45,MP,448407.72,207160.76,G,2795.46,57.9411,72.7704,65.2133,0.41924135,3,3
SW26,SW,446443.33,207550.71,G,2799.66,52.9695,140.8,356.577,0.99821594,3,1
W49,W,446052.33,209277.71,G,2820.45,206.991,78.4103,17.8579,0.951819988,5,3
SW133,SW,446261.33,207581.71,G,2824.97,166.365,127.72,296.278,0.442726932,2,2
SW82,SW,447327.33,207376.71,G,2826.86,116.137,142.851,25.4751,0.902772294,3,1
MP92,MP,447983.72,207936.76,G,2839.25,61.1954,71.6766,50.5395,0.635546107,3,3
O37,O,445345.33,207761.71,G,2848.13,168.397,102.329,243.365,-0.448305212,2,3
W63,W,445695.33,209336.71,G,2849.89,43.0258,66.0742,349.802,0.984201789,5,3
W65,W,445642.33,209320.71,G,2850.4,31.2219,65.1178,344.143,0.961946643,5,3
W19,W,446231.33,209497.71,G,2862.43,31.1352,63.0741,354.432,0.995281745,5,3
W67,W,445819.33,209351.71,G,2863.86,80.9666,66.2628,9.4641,0.986388822,5,3
SW61A,SW,446964.33,207329.71,G,2879.7,38.6436,145.595,332.934,0.890482974,3,1
SW46,SW,446668.33,207455.71,G,2897.42,92.2449,141.772,18.2736,0.949570054,5,1
SW54,SW,446789.33,207359.71,G,2899.66,14.6054,144.653,66.9605,0.391365636,3,1
C9A,C,446141.33,206711.71,G,2907.53,16.2825,93.1011,234.602,-0.579252719,5,3
SW85,SW,447385.33,207377.71,G,2910.78,126.72,141.631,34.2403,0.826685018,2,1
W4B,W,446257.33,209228.71,G,2920.53,128.412,79.9748,350.96,0.987578888,5,3
O63,O,445432.72,207470.76,G,2935.03,75.3351,89.2783,169.446,-0.983082718,4,3
MP15,MP,448158.72,207690.76,G,2937.18,20.039,77.0312,36.5735,0.803093151,3,3
SW22,SW,446461.33,207594.71,G,2948.23,8.87518,136.911,1.34795,0.999723273,3,2
B86,B,447683.72,207911.81,G,2954.22,59.0568,90.5569,79.3548,0.18472672,5,3
SW132,SW,446225.33,207620.71,G,2960.77,201.205,121.041,264.573,-0.09457745,2,2
P11,P,447292.33,207556.71,G,2969.16,257.743,131.751,34.8185,0.820964891,2,1
C10,C,446147.33,206622.71,G,2980.34,16.7134,88.6573,198.183,-0.950064681,5,3
O75,O,445771.33,207166.71,G,2981.85,5.72331,84.6586,281.35,0.196801817,4,3
O24,O,445168.72,207887.76,G,2990.48,20.7543,111.844,145.254,-0.821686729,5,3
W16,W,446212.33,209362.71,G,2995.14,74.8045,68.6756,320.995,0.77709104,5,3
EX11C,EX,445792.33,208402.71,G,3011.42,203.811,160.784,18.9498,0.945803461,5,1
SW125,SW,446013.33,207508.71,G,3016.33,395.636,102.634,283.876,0.239821409,2,2
CP34,CP,446663.33,208847.71,G,3016.68,7.33869,105.605,32.5051,0.843343616,4,2
SW89,SW,447452.33,207361.71,G,3028.63,104.206,141.027,117.106,-0.455638128,3,1
B217,B,447751.72,207832.76,G,3039.22,163.477,91.2885,19.2188,0.944268411,5,3
B224,B,447750.72,207895.76,G,3053.25,123.564,86.2699,64.0629,0.437384176,5,3
SW53,SW,446714.33,207379.71,G,3070.66,23.3824,144.405,343.702,0.959815089,5,1
CP2,CP,446331.33,209279.71,G,3076.56,68.339,77.2489,352.06,0.990413267,4,3
O41,O,445459.72,207817.76,G,3085.38,284.808,111.223,285.984,0.27536891,2,3
W17,W,446242.33,209395.71,G,3095.01,35.8545,67.2438,326.368,0.832612039,5,3
O109,O,445869.33,207566.71,G,3097.73,354.29,98.9265,182.84,-0.99877179,2,3
W85,W,445566.33,209264.71,G,3105.21,40.5541,66.3112,327.331,0.841802957,5,3
O48,O,445470.72,207553.76,G,3107.39,166.2,98.2049,202.779,-0.922005122,4,3
W78,W,445685.33,209195.71,G,3108.41,168.094,80.8781,333.86,0.897720221,5,3
W72,W,445760.33,209327.71,G,3117.62,84.7912,68.3214,348.633,0.980384854,5,3
B85,B,447637.72,207880.76,G,3137.65,39.1655,96.6721,68.6017,0.364849159,5,3
B203,B,447661.72,207431.76,G,3142.15,34.7105,129.026,54.8254,0.576070008,5,1
W76,W,445644.33,209161.71,G,3148.62,175.628,81.7836,331.836,0.88160019,5,3
O82,O,445805.33,207580.71,G,3173.37,320.184,98.5391,185.465,-0.995454561,2,3
EX74,EX,445909.33,208141.71,G,3174.97,124.923,158.69,196.937,-0.956625657,3,1
C135,C,446398.33,207008.71,G,3175.11,56.7018,111.764,120.133,-0.502008945,5,2
SW130,SW,446195.33,207551.71,G,3182.36,236.689,120.43,323.086,0.799537924,2,2
SW109A,SW,446136.33,207131.71,G,3185.16,99.3087,114.825,223.982,-0.719557998,5,2
EX70,EX,445865.33,208233.71,G,3192.88,153.749,162.57,215.393,-0.815198562,3,1
EX35A,EX,445645.33,208807.71,G,3203.54,401.418,111.256,329.2,0.858959897,5,3
B23,B,447871.72,207890.76,G,3215.41,95.7397,78.3549,39.8387,0.767850991,5,3
MP7,MP,448037.72,207767.76,G,3218.49,64.0216,76.2677,75.7506,0.246143143,3,3
C110,C,446166.33,206677.71,G,3233.14,61.9122,92.6164,208.948,-0.875059346,5,3
SW87,SW,447421.33,207386.71,G,3239.55,132.209,140.058,47.4288,0.676505881,3,1
C61,C,446277.33,206952.71,G,3244.06,67.4714,112.129,146.211,-0.831091255,5,3
MP94,MP,448025.32,208016.68,G,3247.3,2.90631,66.8097,32.1407,0.846744229,3,3
MP75,MP,448359.72,206990.76,G,3272.77,18.7002,84.4066,62.6093,0.460055672,3,3
EX62F,EX,446379.19,208094.35,G,3278,6.80789,142.552,95.5151,-0.096108081,3,1
B195,B,447788.72,207914.76,G,3286.83,109.126,81.1762,29.2263,0.872698047,5,3
O78A,O,445754.33,207372.71,G,3289.05,147.456,87.588,215.595,-0.813151558,2,3
MP54,MP,448559.72,207141.76,G,3304.72,32.094,64.5818,93.6075,-0.06292116,3,3
CP42A,CP,447064.71,208490.18,G,3304.9,35.6086,93.7656,104.45,-0.249535041,3,3
O75B,O,445871.33,207127.71,G,3325.47,22.9117,93.7333,237.021,-0.54433161,4,2
SW28,SW,446452.33,207484.71,G,3342.81,103.707,142.014,24.2851,0.911510262,3,1
B221,B,447557.72,207344.76,G,3353.76,6.18794,139.796,37.5923,0.792371634,3,1
W46,W,446077.33,209204.76,G,3366.48,258.186,88.992,58.4634,0.523043117,5,3
MP76,MP,448390.72,207004.76,G,3366.79,50.0254,81.4573,48.6586,0.660544334,3,3
O69,O,445539.33,207561.76,G,3375.67,197.928,100.175,171.225,-0.98829504,2,3
C162,C,446211.33,206825.71,G,3396.96,14.5379,103.886,207.599,-0.886211665,5,3
P12,P,447234.33,207532.71,G,3399.48,232.081,134.037,82.6431,0.128049589,2,1
O96,O,445978.33,207543.71,G,3402.06,425.337,101.502,245.684,-0.411768854,2,3
O30A,O,445251.72,207904.76,G,3414.9,71.4926,112.449,210.702,-0.85983445,5,3
EX36,EX,445626.33,208771.71,G,3441.72,378.76,112.843,314.921,0.706131143,5,3
W28,W,446109.33,209245.71,G,3443.97,209.15,78.474,47.8259,0.671385647,5,3
MP51,MP,448419.72,207113.76,G,3453.72,75.5831,73.8712,66.1473,0.404386695,3,3
O108,O,445834.33,207594.71,G,3468.3,349.499,99.7213,199.024,-0.945382119,2,3
SW106,SW,446160.33,207047.71,G,3488.45,42.2826,108.895,234.689,-0.578014301,5,2
W18,W,446247.33,209436.71,G,3491.04,27.0358,65.4923,338.91,0.933016352,5,3
