Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201O38,o,J Haynes,False,b,6.0,True,21-05-2020,NA,NA,12-04-2020,12.0,0,6.0,1.0,True,0,03-05-2020,04-05-2020,34.0,12.0,4.2,4.0,11.0,10.0,0,NA,NA,NA,9,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"FON, Found nine chicks dead",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O38A,o,J Haynes,False,g,6.0,True,30-05-2020,NA,NA,19-04-2020,19.0,0,7.0,1.0,True,0,12-05-2020,08-05-2020,38.0,9.0,7.1,4.0,11.0,9.0,9,52.0,15.0,9.0,0,9,18.96,9,2,ty70704,ty70705,"ty70704, ty70705",NA,NA,NA,0,FON,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O38B,o,J Haynes,False,NA,6.0,True,07-06-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O39,o,J Haynes,False,b,6.0,True,03-06-2020,NA,NA,20-04-2020,20.0,0,7.0,1.0,True,0,12-05-2020,12-05-2020,42.0,13.0,3.3,3.0,10.0,10.0,10,56.0,15.0,10.0,0,10,10.9,10,1,NA,j215675,01103f96a5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O4,o,Charlotte Regan,False,b,6.0,True,07-06-2020,NA,NA,12-04-2020,12.0,0,5.0,NA,True,0,04-05-2020,03-05-2020,33.0,12.0,4.0,4.0,10.0,10.0,10,47.0,15.0,10.0,0,10,10.76,10,3,s883096,abj6272,"0700ede578, 01103fc940, s883096, abj6272",NA,NA,NA,0,fon,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O40,o,J Haynes,False,g,6.0,True,04-06-2020,NA,NA,24-04-2020,24.0,0,5.0,1.0,True,0,14-05-2020,13-05-2020,43.0,12.0,6.3,4.0,8.0,8.0,8,57.0,15.0,8.0,0,8,18.33,8,4,ty70509,ts46391,"0110178e2e, ty70509, ts46391",NA,NA,NA,0,fonscanned,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O41,o,J Haynes,False,b,6.0,True,25-05-2020,NA,NA,18-04-2020,18.0,0,7.0,0.5,True,0,08-05-2020,NA,NA,NA,3.1,3.0,8.0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Uncovered and cold, FON, uncovered and cold, suspect abandonment, uncovered and cold eggs for several weeks now",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O42,o,J Haynes,False,NA,6.0,True,07-06-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O43,o,J Haynes,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O44,o,J Haynes,False,NA,6.0,True,16-06-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
