Record type,Retrap,Bto ring,Pit tag,Pit tag state,Bto species code,Age,Sex,Sexing method,Date time,Region,Location,Fieldworker,Wing length,Weight,Bill length method,Bill length,Bill depth method,Bill depth,Tarsus length method,Tarsus length,Fat,Fat method,Pectoral muscle,Pox,Leg condition description,Tick description,Comment,
Physical,New Capture,tr44096,'03000326b4',1,greti,1,,,04-06-2013  7:15,WYT,20131MP60,Ross Crates,,17.1,,,,,,,,,,false,,,,
Physical,New Capture,tr44097,'030003c32f',1,greti,1,,,04-06-2013  7:15,WYT,20131MP60,Ross Crates,,17.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44098,'030002bc29',1,greti,1,,,04-06-2013  7:15,WYT,20131MP60,Ross Crates,,18.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44099,'030002b8db',1,greti,1,,,04-06-2013  8:00,WYT,20131MP70,Ross Crates,,18.1,,,,,,,,,,false,,,,
Physical,New Capture,tr44100,'030003c4d2',1,greti,1,,,04-06-2013  8:00,WYT,20131MP70,Ross Crates,,17.8,,,,,,,,,,false,,,,
Physical,New Capture,tl36008,'030001e999',1,greti,1,,,04-06-2013  8:00,WYT,20131MP70,Ross Crates,,17,,,,,,,,,,false,,,,
Physical,New Capture,tl36009,'0300025a7d',1,greti,1,,,04-06-2013  8:00,WYT,20131MP70,Ross Crates,,18.3,,,,,,,,,,false,,,,
Physical,New Capture,tl36010,'0300024e0a',1,greti,1,,,04-06-2013  8:00,WYT,20131MP70,Ross Crates,,17,,,,,,,,,,false,,,,
Physical,New Capture,tl36011,'030002f7e6',1,greti,1,,,04-06-2013  9:20,WYT,20131SC5,Ross Crates,,17.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36012,'0300033cfe',1,greti,1,,,04-06-2013  9:20,WYT,20131SC5,Ross Crates,,17.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36013,'0300026e6c',1,greti,1,,,04-06-2013  9:20,WYT,20131SC5,Ross Crates,,16.8,,,,,,,,,,false,,,,
Physical,New Capture,tl36014,'030001c6e5',1,greti,1,,,04-06-2013  9:20,WYT,20131SC5,Ross Crates,,17.8,,,,,,,,,,false,,,,
Physical,New Capture,tl36015,'0300022398',1,greti,1,,,04-06-2013  9:20,WYT,20131SC5,Ross Crates,,18,,,,,,,,,,false,,,,
Physical,New Capture,tl36016,'030002cb2c',1,greti,1,,,04-06-2013  9:20,WYT,20131SC5,Ross Crates,,18.3,,,,,,,,,,false,,,,
Physical,New Capture,tl36017,'030003834a',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,15.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36018,'0300025722',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,16.3,,,,,,,,,,false,,,,
Physical,New Capture,tl36019,'030001ad0c',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,11.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36020,'030001d532',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,16.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36021,'03000275e5',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,15.9,,,,,,,,,,false,,,,
Physical,New Capture,tl36022,'0300030b14',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,16.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36023,'0300020bcf',1,greti,1,,,04-06-2013  9:34,WYT,20131H18,Jack Nurse,,15.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36029,'030003ae50',1,greti,1,,,04-06-2013 11:49,SMI,20131DMC1,Ross Crates,,18.9,,,,,,,,,,false,,,,
Physical,New Capture,tl36030,'030002dd88',1,greti,1,,,04-06-2013 11:49,SMI,20131DMC1,Ross Crates,,17,,,,,,,,,,false,,,,
Physical,New Capture,tl36036,'03000233aa',1,greti,1,,,05-06-2013 12:13,DEN,20131DMA29,Jack Nurse,,16,,,,,,,,,,false,,,,
Physical,New Capture,tl36037,'030003780e',1,greti,1,,,05-06-2013 12:13,DEN,20131DMA29,Jack Nurse,,17.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36038,'',0,greti,1,,,05-06-2013 12:13,DEN,20131DMA29,Jack Nurse,,11.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36039,'',0,greti,1,,,05-06-2013 12:13,DEN,20131DMA29,Jack Nurse,,10.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36040,'030001a594',1,greti,1,,,05-06-2013 12:13,DEN,20131DMA29,Jack Nurse,,17.3,,,,,,,,,,false,,,,
Physical,New Capture,tl36041,'0300024cd9',1,greti,1,,,05-06-2013 12:40,DEN,20131DMA33,Jack Nurse,,15.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36042,'0300038409',1,greti,1,,,05-06-2013 12:40,DEN,20131DMA33,Jack Nurse,,17.9,,,,,,,,,,false,,,,
Physical,New Capture,tl36043,'0300027224',1,greti,1,,,05-06-2013 12:40,DEN,20131DMA33,Jack Nurse,,17.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36044,'030001b185',1,greti,1,,,05-06-2013 12:40,DEN,20131DMA33,Jack Nurse,,16.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36045,'030001ded9',1,greti,1,,,05-06-2013 12:40,DEN,20131DMA33,Jack Nurse,,17,,,,,,,,,,false,,,,
Physical,New Capture,tl36046,'030003679c',1,greti,1,,,05-06-2013 12:40,DEN,20131DMA33,Jack Nurse,,16.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36047,'030001e345',1,greti,1,,,05-06-2013 13:18,DEN,20131DMA25,Ross Crates,,16.8,,,,,,,,,,false,,,,
Physical,New Capture,unrrunt,'',0,greti,1,,,05-06-2013 13:18,DEN,20131DMA25,Ross Crates,,6.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36048,'03000205d8',1,greti,1,,,05-06-2013 13:18,DEN,20131DMA25,Ross Crates,,15.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36049,'03000299b9',1,greti,1,,,05-06-2013 13:18,DEN,20131DMA25,Ross Crates,,16.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36050,'0300026be4',1,greti,1,,,05-06-2013 13:18,DEN,20131DMA25,Ross Crates,,15.8,,,,,,,,,,false,,,,
Physical,New Capture,tl36051,'0300035461',1,greti,1,,,05-06-2013 13:18,DEN,20131DMA25,Ross Crates,,15.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36052,'03000194e9',1,greti,1,,,05-06-2013 13:30,DEN,20131DMB5,Jack Nurse,,14.9,,,,,,,,,,false,,,,
Physical,New Capture,tl36053,'0300021bac',1,greti,1,,,05-06-2013 13:30,DEN,20131DMB5,Jack Nurse,,17.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36054,'03000351fb',1,greti,1,,,05-06-2013 13:30,DEN,20131DMB5,Jack Nurse,,18,,,,,,,,,,false,,,,
Physical,New Capture,tl36055,'030002e567',1,greti,1,,,05-06-2013 13:30,DEN,20131DMB5,Jack Nurse,,14.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36056,'0300026a6e',1,greti,1,,,06-06-2013  8:58,WYT,20131MP53,Jack Nurse,,18.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36057,'03000220fd',1,greti,1,,,06-06-2013  8:58,WYT,20131MP53,Jack Nurse,,18.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36058,'0300027c88',1,greti,1,,,06-06-2013  8:58,WYT,20131MP53,Jack Nurse,,19,,,,,,,,,,false,,,,
Physical,New Capture,tl36059,'030002a171',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,19.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36060,'030003c514',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,17.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36061,'030001de04',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,18.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36062,'030002b3f4',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,17.8,,,,,,,,,,false,,,,
Physical,New Capture,tl36063,'030001985f',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36064,'0300037ce2',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36065,'0300019a7e',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,15.9,,,,,,,,,,false,,,,
Physical,New Capture,tl36066,'030001e53c',1,greti,1,,,06-06-2013 10:05,WYT,20131MP90,Ross Crates,,17.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36067,'030002346d',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,18.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36068,'030001c595',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,19.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36069,'030001e42d',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,19,,,,,,,,,,false,,,,
Physical,New Capture,tl36070,'0300021bd4',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,18.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36071,'0300024eda',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,17.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36072,'03000223ef',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,19.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36073,'030001d284',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,18.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36074,'0300026dae',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,18.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36075,'030002e438',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,18.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36076,'030001a61b',1,greti,1,,,06-06-2013 10:57,WYT,20131CC5,Jack Nurse,,18.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36077,'030002a2ec',1,greti,1,,,06-06-2013 14:55,DEN,20131DMA11,Ross Crates,,19.8,,,,,,,,,,false,,,,
Physical,New Capture,tl36078,'0300025072',1,greti,1,,,06-06-2013 14:55,DEN,20131DMA11,Ross Crates,,18.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36079,'030003308c',1,greti,1,,,06-06-2013 14:55,DEN,20131DMA11,Ross Crates,,20,,,,,,,,,,false,,,,
