pnum,year,timedate,date,time_min,sunrise,sunrise_min,diff_time
20211O115,2021,2021-04-15 04:40:56.352000,2021-04-15,280,2021-04-15 05:09:07.520545+00:00,309,-29
20211O115,2021,2021-04-16 04:39:18.672000,2021-04-16,279,2021-04-16 05:06:57.881000+00:00,306,-27
20211O115,2021,2021-04-17 04:35:47.808000,2021-04-17,275,2021-04-17 05:04:49.003674+00:00,304,-29
20211O115,2021,2021-04-18 04:41:11.541333,2021-04-18,281,2021-04-18 05:02:40.924716+00:00,302,-21
20211O118,2021,2021-04-25 05:06:06.762667,2021-04-25,306,2021-04-25 04:48:09.878095+00:00,288,18
20211O118,2021,2021-04-26 04:00:26.880000,2021-04-26,240,2021-04-26 04:46:09.554219+00:00,286,-46
20211O12,2021,2021-04-15 04:37:15.136000,2021-04-15,277,2021-04-15 05:09:07.520545+00:00,309,-32
20211O12,2021,2021-04-16 04:53:11.157333,2021-04-16,293,2021-04-16 05:06:57.881000+00:00,306,-13
20211O12,2021,2021-04-17 04:42:52.626667,2021-04-17,282,2021-04-17 05:04:49.003674+00:00,304,-22
20211SW16,2021,2021-04-25 04:15:51.242667,2021-04-25,255,2021-04-25 04:48:09.878095+00:00,288,-33
20211SW16,2021,2021-04-27 04:16:47.568000,2021-04-27,256,2021-04-27 04:44:10.379607+00:00,284,-28
20211SW18,2021,2021-04-19 04:32:16.732000,2021-04-19,272,2021-04-19 05:00:33.680803+00:00,300,-28
20211SW32,2021,2021-04-16 05:28:02.940000,2021-04-16,328,2021-04-16 05:06:57.881000+00:00,306,22
20211SW32,2021,2021-04-17 04:30:45.162667,2021-04-17,270,2021-04-17 05:04:49.003674+00:00,304,-34
20211SW32,2021,2021-04-18 04:35:59.904000,2021-04-18,275,2021-04-18 05:02:40.924716+00:00,302,-27
20211SW34,2021,2021-04-22 04:45:17.696000,2021-04-22,285,2021-04-22 04:54:17.334440+00:00,294,-9
20211SW34,2021,2021-04-23 04:17:16.117333,2021-04-23,257,2021-04-23 04:52:13.808673+00:00,292,-35
20211SW34,2021,2021-04-24 04:24:30.876000,2021-04-24,264,2021-04-24 04:50:11.309838+00:00,290,-26
20211SW38,2021,2021-04-24 04:15:34.464000,2021-04-24,255,2021-04-24 04:50:11.309838+00:00,290,-35
20211SW49,2021,2021-04-25 04:19:38.368000,2021-04-25,259,2021-04-25 04:48:09.878095+00:00,288,-29
20211SW49,2021,2021-04-26 04:18:09.324000,2021-04-26,258,2021-04-26 04:46:09.554219+00:00,286,-28
20211SW49,2021,2021-04-27 04:16:39.733333,2021-04-27,256,2021-04-27 04:44:10.379607+00:00,284,-28
20211C61A,2021,2021-04-27 04:18:32.976000,2021-04-27,258,2021-04-27 04:44:10.379607+00:00,284,-26
20211C61A,2021,2021-04-28 04:23:32.833333,2021-04-28,263,2021-04-28 04:42:12.396280+00:00,282,-19
20211C61A,2021,2021-04-29 04:13:50.769333,2021-04-29,253,2021-04-29 04:40:15.646887+00:00,280,-27
20211C61A,2021,2021-04-30 04:15:04.941333,2021-04-30,255,2021-04-30 04:38:20.174704+00:00,278,-23
20211C62,2021,2021-04-19 04:34:57.480000,2021-04-19,274,2021-04-19 05:00:33.680803+00:00,300,-26
20211C62,2021,2021-04-21 04:47:33.692000,2021-04-21,287,2021-04-21 04:56:21.847588+00:00,296,-9
20211W74,2021,2021-04-16 04:48:44.245333,2021-04-16,288,2021-04-16 05:06:57.881000+00:00,306,-18
20211W74,2021,2021-04-18 04:51:18.665333,2021-04-18,291,2021-04-18 05:02:40.924716+00:00,302,-11
20211W75,2021,2021-04-14 04:47:03.093333,2021-04-14,287,2021-04-14 05:11:17.886676+00:00,311,-24
20211W75,2021,2021-04-15 04:30:40.272000,2021-04-15,270,2021-04-15 05:09:07.520545+00:00,309,-39
20211W75,2021,2021-04-16 04:31:45.824000,2021-04-16,271,2021-04-16 05:06:57.881000+00:00,306,-35
20211W75,2021,2021-04-17 04:30:21.264000,2021-04-17,270,2021-04-17 05:04:49.003674+00:00,304,-34
20211W75,2021,2021-04-18 04:24:24.213333,2021-04-18,264,2021-04-18 05:02:40.924716+00:00,302,-38
20211W75,2021,2021-04-20 04:22:43.264000,2021-04-20,262,2021-04-20 04:58:27.309164+00:00,298,-36
20211W75,2021,2021-04-21 04:18:37.840000,2021-04-21,258,2021-04-21 04:56:21.847588+00:00,296,-38
20211W75,2021,2021-04-22 04:18:28.736000,2021-04-22,258,2021-04-22 04:54:17.334440+00:00,294,-36
20211W77,2021,2021-04-12 04:55:46.813333,2021-04-12,295,2021-04-12 05:15:40.658633+00:00,315,-20
20211W77,2021,2021-04-13 04:44:04.224000,2021-04-13,284,2021-04-13 05:13:28.944258+00:00,313,-29
20211W79,2021,2021-04-12 04:53:11.080000,2021-04-12,293,2021-04-12 05:15:40.658633+00:00,315,-22
20211W79,2021,2021-04-13 04:40:11.649333,2021-04-13,280,2021-04-13 05:13:28.944258+00:00,313,-33
20211W79,2021,2021-04-14 04:34:33.521333,2021-04-14,274,2021-04-14 05:11:17.886676+00:00,311,-37
20211W80,2021,2021-04-23 04:19:19.974667,2021-04-23,259,2021-04-23 04:52:13.808673+00:00,292,-33
20211W80,2021,2021-04-24 04:14:37.202667,2021-04-24,254,2021-04-24 04:50:11.309838+00:00,290,-36
20211W80,2021,2021-04-25 04:10:59.573333,2021-04-25,250,2021-04-25 04:48:09.878095+00:00,288,-38
20211W81,2021,2021-04-18 04:25:22.260000,2021-04-18,265,2021-04-18 05:02:40.924716+00:00,302,-37
20211W81,2021,2021-04-19 04:23:39.826667,2021-04-19,263,2021-04-19 05:00:33.680803+00:00,300,-37
20211W81,2021,2021-04-20 04:24:29.724000,2021-04-20,264,2021-04-20 04:58:27.309164+00:00,298,-34
20211W87,2021,2021-04-13 04:37:09.330000,2021-04-13,277,2021-04-13 05:13:28.944258+00:00,313,-36
20211W87,2021,2021-04-14 04:37:39.680000,2021-04-14,277,2021-04-14 05:11:17.886676+00:00,311,-34
20211W99A,2021,2021-04-23 04:38:55.700000,2021-04-23,278,2021-04-23 04:52:13.808673+00:00,292,-14
20211W99A,2021,2021-04-24 04:20:03.066000,2021-04-24,260,2021-04-24 04:50:11.309838+00:00,290,-30
20211W99A,2021,2021-04-25 04:17:41.723333,2021-04-25,257,2021-04-25 04:48:09.878095+00:00,288,-31
20211MP34A,2021,2021-04-23 04:29:52.400000,2021-04-23,269,2021-04-23 04:52:13.808673+00:00,292,-23
20211MP34A,2021,2021-04-25 04:17:03.573333,2021-04-25,257,2021-04-25 04:48:09.878095+00:00,288,-31
20211MP42,2021,2021-04-23 04:20:54.826667,2021-04-23,260,2021-04-23 04:52:13.808673+00:00,292,-32
20211MP42,2021,2021-04-24 04:23:31.685333,2021-04-24,263,2021-04-24 04:50:11.309838+00:00,290,-27
20211MP42,2021,2021-04-25 04:19:36.168000,2021-04-25,259,2021-04-25 04:48:09.878095+00:00,288,-29
20211MP48,2021,2021-04-09 04:50:00.960000,2021-04-09,290,2021-04-09 05:22:19.402706+00:00,322,-32
20211MP48,2021,2021-04-10 04:56:28.021333,2021-04-10,296,2021-04-10 05:20:05.921408+00:00,320,-24
20211MP48,2021,2021-04-14 04:38:46.592000,2021-04-14,278,2021-04-14 05:11:17.886676+00:00,311,-33
20211MP48,2021,2021-04-15 04:38:51.712000,2021-04-15,278,2021-04-15 05:09:07.520545+00:00,309,-31
20211MP48,2021,2021-04-16 04:30:16.976000,2021-04-16,270,2021-04-16 05:06:57.881000+00:00,306,-36
20211MP51,2021,2021-04-17 04:37:29.856000,2021-04-17,277,2021-04-17 05:04:49.003674+00:00,304,-27
20211MP51,2021,2021-04-18 04:33:29.160000,2021-04-18,273,2021-04-18 05:02:40.924716+00:00,302,-29
20211MP51,2021,2021-04-19 04:29:51.722667,2021-04-19,269,2021-04-19 05:00:33.680803+00:00,300,-31
20211MP52,2021,2021-04-07 05:04:34.220000,2021-04-07,304,2021-04-07 05:26:47.900370+00:00,326,-22
20211MP52,2021,2021-04-09 05:05:21.544000,2021-04-09,305,2021-04-09 05:22:19.402706+00:00,322,-17
20211MP52,2021,2021-04-10 05:02:46.912000,2021-04-10,302,2021-04-10 05:20:05.921408+00:00,320,-18
20211MP52,2021,2021-04-11 04:58:48.224000,2021-04-11,298,2021-04-11 05:17:52.995603+00:00,317,-19
20211MP52,2021,2021-04-12 04:54:35.968000,2021-04-12,294,2021-04-12 05:15:40.658633+00:00,315,-21
20211MP56,2021,2021-04-08 05:00:40.320000,2021-04-08,300,2021-04-08 05:24:33.406551+00:00,324,-24
20211MP56,2021,2021-04-09 04:56:31.322667,2021-04-09,296,2021-04-09 05:22:19.402706+00:00,322,-26
20211MP62,2021,2021-04-20 04:23:03.488000,2021-04-20,263,2021-04-20 04:58:27.309164+00:00,298,-35
20211MP64,2021,2021-04-10 04:53:46.800000,2021-04-10,293,2021-04-10 05:20:05.921408+00:00,320,-27
20211MP64,2021,2021-04-11 04:44:05.088000,2021-04-11,284,2021-04-11 05:17:52.995603+00:00,317,-33
20211MP64,2021,2021-04-12 04:47:54.906667,2021-04-12,287,2021-04-12 05:15:40.658633+00:00,315,-28
20211MP64,2021,2021-04-13 04:34:42.272000,2021-04-13,274,2021-04-13 05:13:28.944258+00:00,313,-39
20211MP64,2021,2021-04-14 04:33:32.058667,2021-04-14,273,2021-04-14 05:11:17.886676+00:00,311,-38
20211MP64,2021,2021-04-15 04:31:12.554667,2021-04-15,271,2021-04-15 05:09:07.520545+00:00,309,-38
20211MP66,2021,2021-04-12 04:47:39.296000,2021-04-12,287,2021-04-12 05:15:40.658633+00:00,315,-28
20211MP66,2021,2021-04-13 04:39:34.933333,2021-04-13,279,2021-04-13 05:13:28.944258+00:00,313,-34
20211C108,2021,2021-04-19 04:25:43.882667,2021-04-19,265,2021-04-19 05:00:33.680803+00:00,300,-35
20211C126,2021,2021-04-24 04:43:42.816000,2021-04-24,283,2021-04-24 04:50:11.309838+00:00,290,-7
20211SW6,2021,2021-04-19 04:31:14.106667,2021-04-19,271,2021-04-19 05:00:33.680803+00:00,300,-29
20211SW6,2021,2021-04-20 04:28:44.730000,2021-04-20,268,2021-04-20 04:58:27.309164+00:00,298,-30
20211SW6,2021,2021-04-21 04:28:06.925333,2021-04-21,268,2021-04-21 04:56:21.847588+00:00,296,-28
20211SW60,2021,2021-04-25 04:20:18.613333,2021-04-25,260,2021-04-25 04:48:09.878095+00:00,288,-28
20211SW60,2021,2021-04-26 04:17:20.800000,2021-04-26,257,2021-04-26 04:46:09.554219+00:00,286,-29
20211SW60,2021,2021-04-27 04:15:45.088000,2021-04-27,255,2021-04-27 04:44:10.379607+00:00,284,-29
20211SW70,2021,2021-04-22 04:25:23.498667,2021-04-22,265,2021-04-22 04:54:17.334440+00:00,294,-29
20211SW70,2021,2021-04-23 04:15:47.498667,2021-04-23,255,2021-04-23 04:52:13.808673+00:00,292,-37
20211SW70,2021,2021-04-24 04:15:32.933333,2021-04-24,255,2021-04-24 04:50:11.309838+00:00,290,-35
20211SW72,2021,2021-04-28 04:13:34.501333,2021-04-28,253,2021-04-28 04:42:12.396280+00:00,282,-29
20211SW72,2021,2021-04-29 04:09:16.864000,2021-04-29,249,2021-04-29 04:40:15.646887+00:00,280,-31
20211SW72,2021,2021-04-30 04:07:59.125333,2021-04-30,247,2021-04-30 04:38:20.174704+00:00,278,-31
20211SW72,2021,2021-05-01 04:07:05.856000,2021-05-01,247,2021-05-01 04:36:26.023634+00:00,276,-29
20211SW76,2021,2021-04-28 04:17:15.285333,2021-04-28,257,2021-04-28 04:42:12.396280+00:00,282,-25
20211SW76,2021,2021-04-29 04:09:21.280000,2021-04-29,249,2021-04-29 04:40:15.646887+00:00,280,-31
20211SW76,2021,2021-04-30 04:08:06.933333,2021-04-30,248,2021-04-30 04:38:20.174704+00:00,278,-30
20211SW76,2021,2021-05-01 04:05:48.650667,2021-05-01,245,2021-05-01 04:36:26.023634+00:00,276,-31
20211SW82,2021,2021-04-26 04:18:24.917333,2021-04-26,258,2021-04-26 04:46:09.554219+00:00,286,-28
20211SW83,2021,2021-04-15 04:50:07.168000,2021-04-15,290,2021-04-15 05:09:07.520545+00:00,309,-19
20211SW83,2021,2021-04-16 04:45:39.669333,2021-04-16,285,2021-04-16 05:06:57.881000+00:00,306,-21
20211SW83,2021,2021-04-17 04:37:04.896000,2021-04-17,277,2021-04-17 05:04:49.003674+00:00,304,-27
20211SW83,2021,2021-04-18 04:31:44.042667,2021-04-18,271,2021-04-18 05:02:40.924716+00:00,302,-31
20211SW83,2021,2021-04-19 04:30:47.722667,2021-04-19,270,2021-04-19 05:00:33.680803+00:00,300,-30
20211SW9,2021,2021-04-27 04:14:23.818667,2021-04-27,254,2021-04-27 04:44:10.379607+00:00,284,-30
20211SW9,2021,2021-05-02 04:29:24.202667,2021-05-02,269,2021-05-02 04:34:33.238195+00:00,274,-5
20211SW90,2021,2021-04-21 04:33:51.232000,2021-04-21,273,2021-04-21 04:56:21.847588+00:00,296,-23
20211W100,2021,2021-04-13 04:49:35.868000,2021-04-13,289,2021-04-13 05:13:28.944258+00:00,313,-24
20211W100,2021,2021-04-14 04:43:28.904000,2021-04-14,283,2021-04-14 05:11:17.886676+00:00,311,-28
20211W100,2021,2021-04-15 04:40:11.173333,2021-04-15,280,2021-04-15 05:09:07.520545+00:00,309,-29
20211W100,2021,2021-04-16 04:38:29.538000,2021-04-16,278,2021-04-16 05:06:57.881000+00:00,306,-28
20211W100,2021,2021-04-18 04:34:55.194000,2021-04-18,274,2021-04-18 05:02:40.924716+00:00,302,-28
20211W102,2021,2021-04-20 04:26:09.493333,2021-04-20,266,2021-04-20 04:58:27.309164+00:00,298,-32
20211W104,2021,2021-04-24 04:15:57.110000,2021-04-24,255,2021-04-24 04:50:11.309838+00:00,290,-35
20211W104,2021,2021-04-25 04:16:19.840000,2021-04-25,256,2021-04-25 04:48:09.878095+00:00,288,-32
20211W12,2021,2021-04-27 04:16:02.948000,2021-04-27,256,2021-04-27 04:44:10.379607+00:00,284,-28
20211W12,2021,2021-04-28 04:27:33.088000,2021-04-28,267,2021-04-28 04:42:12.396280+00:00,282,-15
20211W12,2021,2021-04-29 04:11:26.056000,2021-04-29,251,2021-04-29 04:40:15.646887+00:00,280,-29
20211W12,2021,2021-04-30 04:18:11.104000,2021-04-30,258,2021-04-30 04:38:20.174704+00:00,278,-20
20211W16,2021,2021-04-12 04:50:34.453333,2021-04-12,290,2021-04-12 05:15:40.658633+00:00,315,-25
20211W16,2021,2021-04-13 04:43:21.045333,2021-04-13,283,2021-04-13 05:13:28.944258+00:00,313,-30
20211W16,2021,2021-04-15 04:37:43.826667,2021-04-15,277,2021-04-15 05:09:07.520545+00:00,309,-32
20211W16,2021,2021-04-16 04:35:05.856000,2021-04-16,275,2021-04-16 05:06:57.881000+00:00,306,-31
