year,pnum,nestbox,clear_date,missing_entire_brood,suspected_predation,lay_date,april_lay_date,lay_date_visit_interval,laying_rate,incubation_started,num_broken_eggs,hatch_date,april_hatch_date,incubation_duration,total_egg_weight,num_eggs_weighed,clutch_size,num_chicks,num_chicks_ringed,april_ring_date,ring_day,num_live_chicks,num_dead_chicks,num_fledglings,mean_chick_weight,father,mother,resident,natal_box,year_born,bto_age,age,x,y,type,poly,edge_edi,altitude_m,aspect,northness,habitat_type,soil_type,recorded,total_recordings,missing_recordings,first_recorded,last_recorded,delay,n_vocalisations,repertoire_size
2013,20131B54,B54,2013-07-02,,,2013-06-09,70.0,15.0,1.0,True,0,2013-06-25,86.0,11.0,,,6.0,4.0,0,,,,4,0,,,,,,,,,447542.72,207616.76,G,1237.53,231.635,123.14,39.4836,0.771806619,5.0,1.0,False,0,0,,,,0,
2013,20131B62,B62,2013-06-23,,,2013-05-08,38.0,7.0,,True,0,2013-05-28,58.0,16.0,6.5,4.0,5.0,4.0,3,72.0,15.0,3.0,0,3,15.6,l808882,l315001,False,,,4.0,unknown,447393.72,207609.76,G,1295.31,235.376,126.175,357.621,0.999138111,5.0,1.0,False,0,0,,,,0,
2013,20131B68,B68,2013-06-23,,,2013-05-05,35.0,6.0,1.0,True,0,2013-05-28,58.0,17.0,6.6,4.0,7.0,7.0,5,72.0,15.0,5.0,0,5,18.2,y838339,y164653,False,,,4.0,unknown,447482.72,207455.76,G,1144.73,122.067,134.654,31.3426,0.854072326,5.0,1.0,False,0,0,,,,0,
2013,20131B70,B70,2013-06-13,,,2013-05-02,32.0,6.0,,True,0,2013-05-22,52.0,13.0,6.3,4.0,8.0,7.0,5,66.0,15.0,5.0,0,5,16.28,x235022,y838509,False,,,4.0,unknown,447547.72,207358.76,G,618.162,17.983,139.687,25.8271,0.900112813,3.0,1.0,False,0,0,,,,0,
2013,20131B71,B71,2013-06-24,,,2013-05-04,34.0,6.0,0.67,True,0,2013-05-31,61.0,19.0,6.7,4.0,9.0,5.0,5,75.0,15.0,5.0,0,5,17.94,x239966,l808862,False,,,4.0,unknown,447568.72,207405.76,G,684.662,21.5165,136.459,22.0529,0.926837593,5.0,1.0,False,0,0,,,,0,
2013,20131B78,B78,2013-05-30,,,2013-04-26,26.0,6.0,,True,0,2013-05-16,46.0,13.0,6.7,4.0,8.0,3.0,0,,,,3,0,,y161492,ts44943,False,,,4.0,unknown,447558.72,207725.76,G,1898.06,138.945,113.991,18.0078,0.951014439,5.0,2.0,False,0,0,,,,0,
2013,20131B86,B86,2013-06-19,,,2013-04-29,29.0,7.0,,,0,2013-05-20,50.0,14.0,4.4,3.0,8.0,5.0,5,64.0,15.0,5.0,0,5,16.46,l809621,l315207,False,,,4.0,unknown,447683.72,207911.81,G,2954.22,59.0568,90.5569,79.3548,0.18472672,5.0,3.0,False,0,0,,,,0,
2013,20131B92,B92,2013-06-23,,,2013-05-10,40.0,7.0,,True,0,2013-05-30,60.0,14.0,4.8,3.0,7.0,7.0,4,74.0,15.0,4.0,4,2,13.58,y033185,l809646,False,,,4.0,unknown,447928.72,207740.76,G,934.06,37.0559,84.1354,51.6366,0.620647038,5.0,3.0,False,0,0,,,,0,
2013,20131B97,B97,2013-06-17,,,2013-05-03,33.0,7.0,,True,0,2013-05-20,50.0,14.0,5.2,3.0,4.0,2.0,1,64.0,15.0,1.0,1,1,15.3,x235137,y837444,False,,,4.0,unknown,447845.72,207605.76,G,1833.35,41.6843,100.244,52.5743,0.607732113,5.0,3.0,False,0,0,,,,0,
2013,20131C10,C10,2013-06-11,,,2013-04-26,26.0,6.0,,True,0,2013-05-15,45.0,12.0,4.8,3.0,8.0,8.0,0,,,,8,0,,y839001,tp25735,False,,,6.0,adult,446147.33,206622.71,G,2980.34,16.7134,88.6573,198.183,-0.950064681,5.0,3.0,False,0,0,,,,0,
2013,20131C101,C101,2013-07-07,,,2013-05-03,33.0,8.0,,True,0,2013-05-19,49.0,13.0,,,4.0,4.0,3,63.0,15.0,3.0,0,3,18.77,,tr44532,,,,,,446314.33,206940.71,G,1515.66,93.0844,110.103,157.899,-0.926522064,5.0,3.0,False,0,0,,,,0,
2013,20131C106,C106,2013-06-11,,,2013-04-21,21.0,0.0,1.0,True,0,2013-05-12,42.0,13.0,5.8,3.0,9.0,7.0,7,56.0,15.0,7.0,0,7,17.07,y160448,y839002,False,,,6.0,adult,446229.72,206720.76,G,2384.5,89.1936,96.6604,181.279,-0.999750858,5.0,3.0,False,0,0,,,,0,
2013,20131C110,C110,2013-07-07,,,2013-04-26,26.0,6.0,0.14,True,0,2013-06-11,72.0,40.0,5.1,3.0,7.0,5.0,3,84.0,13.0,3.0,0,3,18.13,y837601,ts47014,False,,,4.0,unknown,446166.33,206677.71,G,3233.14,61.9122,92.6164,208.948,-0.875059346,5.0,3.0,False,0,0,,,,0,
